epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,1439,0.61354,0.40676,1.02844,0.95502,0.94737,0.97421,0.72957,0.74837,0.36256,1.12075,0.000808828,0.000808828,0.000808828
158,1445.72,0.62149,0.38898,1.00565,0.97682,0.96053,0.97617,0.73968,0.74871,0.36312,1.12048,0.000803327,0.000803327,0.000803327
159,1452.36,0.60936,0.37825,1.03443,0.98084,0.94737,0.97591,0.72995,0.75799,0.36332,1.12999,0.000797826,0.000797826,0.000797826
160,1458.59,0.57075,0.361,1.0016,0.94698,0.93421,0.97194,0.70534,0.76131,0.38272,1.15429,0.000792325,0.000792325,0.000792325
161,1465.33,0.60832,0.39125,1.03001,0.94396,0.97368,0.9735,0.70265,0.76412,0.37964,1.16043,0.000786824,0.000786824,0.000786824
162,1471.54,0.60189,0.39436,1.03214,0.96749,0.94737,0.97869,0.70866,0.75826,0.37675,1.15189,0.000781323,0.000781323,0.000781323
163,1478.17,0.6098,0.37986,1.01924,0.94031,0.96053,0.97572,0.71411,0.76907,0.37119,1.15447,0.000775822,0.000775822,0.000775822
164,1485.58,0.57898,0.38005,1.00296,0.99623,0.94289,0.97977,0.725,0.76045,0.3659,1.14693,0.000770321,0.000770321,0.000770321
165,1492.27,0.5869,0.3824,1.03235,0.97741,0.93421,0.97594,0.71397,0.7631,0.3541,1.17633,0.00076482,0.00076482,0.00076482
166,1499.55,0.59884,0.38821,1.01403,0.99714,0.93408,0.97321,0.72132,0.74638,0.35263,1.14571,0.000759318,0.000759318,0.000759318
167,1506.05,0.57474,0.37042,1.00867,0.99617,0.94737,0.98213,0.73119,0.73797,0.34107,1.13581,0.000753817,0.000753817,0.000753817
168,1512.49,0.59651,0.37181,1.02627,0.9266,0.93421,0.95699,0.72116,0.74359,0.37188,1.15823,0.000748316,0.000748316,0.000748316
169,1519.58,0.59088,0.38374,1.01597,0.94541,0.93421,0.95944,0.70686,0.76006,0.37531,1.13557,0.000742815,0.000742815,0.000742815
170,1526.51,0.60701,0.38768,1.02553,0.95398,0.90878,0.96002,0.69129,0.76996,0.38778,1.14924,0.000737314,0.000737314,0.000737314
171,1533.04,0.57593,0.36963,1.01462,0.98539,0.94737,0.98049,0.71593,0.76337,0.38856,1.1459,0.000731813,0.000731813,0.000731813
172,1539.78,0.58298,0.38259,1.0065,0.95342,0.96682,0.98014,0.71837,0.75137,0.38876,1.13783,0.000726312,0.000726312,0.000726312
173,1546.43,0.59524,0.37875,1.01029,0.98071,0.94363,0.97439,0.71854,0.76324,0.38638,1.15127,0.000720811,0.000720811,0.000720811
174,1553.11,0.573,0.37483,1.01384,0.97911,0.92105,0.96284,0.70015,0.76192,0.37808,1.14055,0.00071531,0.00071531,0.00071531
175,1561.16,0.57646,0.37481,1.02342,0.93967,0.94737,0.96656,0.70913,0.74549,0.39095,1.12907,0.000709809,0.000709809,0.000709809
176,1580.44,0.59634,0.401,1.01694,0.98282,0.94434,0.97709,0.72648,0.75027,0.37211,1.12735,0.000704307,0.000704307,0.000704307
177,1588.7,0.5983,0.38778,1.01509,0.9664,0.96053,0.98172,0.71516,0.75859,0.34924,1.15508,0.000698806,0.000698806,0.000698806
